Date,High,Low,Open,Close,Volume,Adj Close
2010-04-05,1.6666669845581055,1.611111044883728,1.611111044883728,1.6666669845581055,6300.0,1.2957937717437744
2010-04-06,1.6666669845581055,1.6666669845581055,1.6666669845581055,1.6666669845581055,0.0,1.2957937717437744
2010-04-07,1.6666669845581055,1.6666669845581055,1.6666669845581055,1.6666669845581055,0.0,1.2957937717437744
2010-04-08,1.6666669845581055,1.6666669845581055,1.6666669845581055,1.6666669845581055,0.0,1.2957937717437744
2010-04-09,1.6666669845581055,1.6666669845581055,1.6666669845581055,1.6666669845581055,0.0,1.2957937717437744
2010-04-12,1.6666669845581055,1.6666669845581055,1.6666669845581055,1.6666669845581055,0.0,1.2957937717437744
2010-04-13,1.6666669845581055,1.6666669845581055,1.6666669845581055,1.6666669845581055,0.0,1.2957937717437744
2010-04-14,1.6666669845581055,1.6666669845581055,1.6666669845581055,1.6666669845581055,0.0,1.2957937717437744
2010-04-15,1.6666669845581055,1.6666669845581055,1.6666669845581055,1.6666669845581055,0.0,1.2957937717437744
2010-04-16,1.6666669845581055,1.6666669845581055,1.6666669845581055,1.6666669845581055,0.0,1.2957937717437744
2010-04-19,1.6666669845581055,1.6666669845581055,1.6666669845581055,1.6666669845581055,0.0,1.2957937717437744
2010-04-20,1.6666669845581055,1.6666669845581055,1.6666669845581055,1.6666669845581055,0.0,1.2957937717437744
2010-04-21,1.6666669845581055,1.6666669845581055,1.6666669845581055,1.6666669845581055,0.0,1.2957937717437744
2010-04-22,1.6666669845581055,1.6666669845581055,1.6666669845581055,1.6666669845581055,0.0,1.2957937717437744
2010-04-23,1.6666669845581055,1.6666669845581055,1.6666669845581055,1.6666669845581055,0.0,1.2957937717437744
2010-04-26,1.6555559635162354,1.6555559635162354,1.6555559635162354,1.6555559635162354,6300.0,1.2871553897857666
2010-04-27,1.6555559635162354,1.6555559635162354,1.6555559635162354,1.6555559635162354,0.0,1.2871553897857666
2010-04-28,1.5777779817581177,1.5777779817581177,1.5777779817581177,1.5777779817581177,4500.0,1.2266849279403687
2010-04-29,1.5777779817581177,1.5777779817581177,1.5777779817581177,1.5777779817581177,0.0,1.2266849279403687
2010-04-30,1.5777779817581177,1.5777779817581177,1.5777779817581177,1.5777779817581177,0.0,1.2266849279403687
2010-05-03,1.5777779817581177,1.5777779817581177,1.5777779817581177,1.5777779817581177,0.0,1.2266849279403687
2010-05-04,1.5777779817581177,1.5777779817581177,1.5777779817581177,1.5777779817581177,0.0,1.2266849279403687
2010-05-05,1.5777779817581177,1.5777779817581177,1.5777779817581177,1.5777779817581177,0.0,1.2266849279403687
2010-05-06,1.5777779817581177,1.5777779817581177,1.5777779817581177,1.5777779817581177,0.0,1.2266849279403687
2010-05-07,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,3600.0,1.1316602230072021
2010-05-10,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-05-11,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-05-12,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-05-13,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-05-14,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-05-17,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-05-18,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-05-19,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-05-20,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-05-21,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-05-24,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-05-25,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-05-26,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-05-27,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-05-28,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-06-01,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-06-02,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-06-03,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-06-04,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-06-07,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-06-08,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-06-09,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-06-10,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-06-11,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-06-14,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-06-15,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-06-16,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-06-17,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-06-18,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-06-21,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-06-22,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-06-23,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-06-24,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-06-25,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-06-28,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-06-29,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-06-30,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-07-01,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
2010-07-02,1.455556035041809,1.455556035041809,1.455556035041809,1.455556035041809,0.0,1.1316602230072021
